TICKER,Name,Sector,Sector_Code
ANF,Abercrombie & Fitch Company A,Consumer,1
AMZN,Amazon.com Inc,Consumer,1
APOL,Apollo Group Inc,Consumer,1
AN,AutoNation Inc,Consumer,1
AZO,AutoZone Inc,Consumer,1
BEAM,Beam Inc.,Consumer,1
BBBY,Bed Bath & Beyond,Consumer,1
BBY,Best Buy Co. Inc.,Consumer,1
BIG,Big Lots Inc.,Consumer,1
HRB,Block H&R,Consumer,1
BWA,BorgWarner,Consumer,1
CVC,Cablevision Systems Corp.,Consumer,1
KMX,Carmax Inc,Consumer,1
CCL,Carnival Corp.,Consumer,1
CBS,CBS Corp.,Consumer,1
CMG,Chipotle Mexican Grill,Consumer,1
COH,Coach Inc.,Consumer,1
CMCSA,Comcast Corp.,Consumer,1
DHI,D. R. Horton,Consumer,1
DRI,Darden Restaurants,Consumer,1
DV,"DeVry, Inc.",Consumer,1
DTV,DirecTV,Consumer,1
DISCA,Discovery Communications,Consumer,1
DLTR,Dollar Tree,Consumer,1
EXPE,Expedia Inc.,Consumer,1
FDO,Family Dollar Stores,Consumer,1
F,Ford Motor,Consumer,1
FOSL,"Fossil, Inc.",Consumer,1
GME,GameStop Corp.,Consumer,1
GCI,Gannett Co.,Consumer,1
GPS,Gap (The),Consumer,1
GPC,Genuine Parts,Consumer,1
GT,Goodyear Tire & Rubber,Consumer,1
HOG,Harley-Davidson,Consumer,1
HAR,Harman Int'l Industries,Consumer,1
HAS,Hasbro Inc.,Consumer,1
HD,Home Depot,Consumer,1
IGT,International Game Technology,Consumer,1
IPG,Interpublic Group,Consumer,1
JCI,Johnson Controls,Consumer,1
KSS,Kohl's Corp.,Consumer,1
LEG,Leggett & Platt,Consumer,1
LEN,Lennar Corp.,Consumer,1
LTD,Limited Brands Inc.,Consumer,1
LOW,Lowe's Cos.,Consumer,1
M,Macy's Inc.,Consumer,1
MAR,Marriott Int'l.,Consumer,1
MAT,Mattel Inc.,Consumer,1
MCD,McDonald's Corp.,Consumer,1
MHP,McGraw-Hill,Consumer,1
NWL,Newell Rubbermaid Co.,Consumer,1
NWSA,News Corporation,Consumer,1
NKE,NIKE Inc.,Consumer,1
JWN,Nordstrom,Consumer,1
ORLY,O'Reilly Automotive,Consumer,1
OMC,Omnicom Group,Consumer,1
JCP,Penney (J.C.),Consumer,1
RL,Polo Ralph Lauren Corp.,Consumer,1
PHM,Pulte Homes Inc.,Consumer,1
ROST,Ross Stores Inc.,Consumer,1
SNI,Scripps Networks Interactive Inc.,Consumer,1
SHLD,Sears Holdings Corporation,Consumer,1
SHW,Sherwin-Williams,Consumer,1
SNA,Snap-On Inc.,Consumer,1
