GVKEY,DATE,YEAR,TICKER,CONAME,PRICEC,STATE
1075,31/12/1962,1962,PNW,PINNACLE WEST CAPITAL CORP,30.38,AZ
1075,31/12/1963,1963,PNW,PINNACLE WEST CAPITAL CORP,30.88,AZ
1075,31/12/1964,1964,PNW,PINNACLE WEST CAPITAL CORP,38.5,AZ
1075,31/12/1965,1965,PNW,PINNACLE WEST CAPITAL CORP,34.38,AZ
1075,31/12/1966,1966,PNW,PINNACLE WEST CAPITAL CORP,28.5,AZ
1075,31/12/1967,1967,PNW,PINNACLE WEST CAPITAL CORP,23.38,AZ
1075,31/12/1968,1968,PNW,PINNACLE WEST CAPITAL CORP,25.63,AZ
1075,31/12/1969,1969,PNW,PINNACLE WEST CAPITAL CORP,21.375,AZ
1075,31/12/1970,1970,PNW,PINNACLE WEST CAPITAL CORP,22,AZ
1075,31/12/1971,1971,PNW,PINNACLE WEST CAPITAL CORP,20.25,AZ
1075,31/12/1972,1972,PNW,PINNACLE WEST CAPITAL CORP,24,AZ
1075,31/12/1973,1973,PNW,PINNACLE WEST CAPITAL CORP,18.125,AZ
1075,31/12/1974,1974,PNW,PINNACLE WEST CAPITAL CORP,12,AZ
1075,31/12/1975,1975,PNW,PINNACLE WEST CAPITAL CORP,15.75,AZ
1075,31/12/1976,1976,PNW,PINNACLE WEST CAPITAL CORP,19.625,AZ
1075,31/12/1977,1977,PNW,PINNACLE WEST CAPITAL CORP,21.25,AZ
1075,31/12/1978,1978,PNW,PINNACLE WEST CAPITAL CORP,20.375,AZ
1075,31/12/1979,1979,PNW,PINNACLE WEST CAPITAL CORP,17.25,AZ
1075,31/12/1980,1980,PNW,PINNACLE WEST CAPITAL CORP,17.625,AZ
1075,31/12/1981,1981,PNW,PINNACLE WEST CAPITAL CORP,19.375,AZ
1075,31/12/1982,1982,PNW,PINNACLE WEST CAPITAL CORP,24.375,AZ
1075,31/12/1983,1983,PNW,PINNACLE WEST CAPITAL CORP,19.375,AZ
1075,31/12/1984,1984,PNW,PINNACLE WEST CAPITAL CORP,22,AZ
1075,31/12/1985,1985,PNW,PINNACLE WEST CAPITAL CORP,27.25,AZ
1075,31/12/1986,1986,PNW,PINNACLE WEST CAPITAL CORP,28.375,AZ
1075,31/12/1987,1987,PNW,PINNACLE WEST CAPITAL CORP,27.75,AZ
1075,31/12/1988,1988,PNW,PINNACLE WEST CAPITAL CORP,15.75,AZ
1075,31/12/1989,1989,PNW,PINNACLE WEST CAPITAL CORP,11.125,AZ
1075,31/12/1990,1990,PNW,PINNACLE WEST CAPITAL CORP,10,AZ
1075,31/12/1991,1991,PNW,PINNACLE WEST CAPITAL CORP,17.375,AZ
1075,31/12/1992,1992,PNW,PINNACLE WEST CAPITAL CORP,20.375,AZ
1075,31/12/1993,1993,PNW,PINNACLE WEST CAPITAL CORP,22.375,AZ
1075,31/12/1994,1994,PNW,PINNACLE WEST CAPITAL CORP,19.625,AZ
1075,31/12/1995,1995,PNW,PINNACLE WEST CAPITAL CORP,28.75,AZ
1075,31/12/1996,1996,PNW,PINNACLE WEST CAPITAL CORP,31.75,AZ
1075,31/12/1997,1997,PNW,PINNACLE WEST CAPITAL CORP,42.375,AZ
1075,31/12/1998,1998,PNW,PINNACLE WEST CAPITAL CORP,42.375,AZ
1075,31/12/1999,1999,PNW,PINNACLE WEST CAPITAL CORP,30.5625,AZ
1075,31/12/2000,2000,PNW,PINNACLE WEST CAPITAL CORP,47.625,AZ
1075,31/12/2001,2001,PNW,PINNACLE WEST CAPITAL CORP,41.85,AZ
1075,31/12/2002,2002,PNW,PINNACLE WEST CAPITAL CORP,34.09,AZ
1075,31/12/2003,2003,PNW,PINNACLE WEST CAPITAL CORP,40.02,AZ
1075,31/12/2004,2004,PNW,PINNACLE WEST CAPITAL CORP,44.41,AZ
1075,31/12/2005,2005,PNW,PINNACLE WEST CAPITAL CORP,41.35,AZ
1075,31/12/2006,2006,PNW,PINNACLE WEST CAPITAL CORP,50.69,AZ
1075,31/12/2007,2007,PNW,PINNACLE WEST CAPITAL CORP,42.41,AZ
1075,31/12/2008,2008,PNW,PINNACLE WEST CAPITAL CORP,32.13,AZ
1075,31/12/2009,2009,PNW,PINNACLE WEST CAPITAL CORP,36.58,AZ
1075,31/12/2010,2010,PNW,PINNACLE WEST CAPITAL CORP,41.45,AZ
1075,31/12/2011,2011,PNW,PINNACLE WEST CAPITAL CORP,48.18,AZ
1075,31/12/2012,2012,PNW,PINNACLE WEST CAPITAL CORP,50.98,AZ
1075,31/12/2013,2013,PNW,PINNACLE WEST CAPITAL CORP,52.92,AZ
1075,31/12/2014,2014,PNW,PINNACLE WEST CAPITAL CORP,68.31,AZ
1075,31/12/2015,2015,PNW,PINNACLE WEST CAPITAL CORP,64.48,AZ
1075,31/12/2016,2016,PNW,PINNACLE WEST CAPITAL CORP,78.03,AZ
1075,31/12/2017,2017,PNW,PINNACLE WEST CAPITAL CORP,85.18,AZ
1075,31/12/2018,2018,PNW,PINNACLE WEST CAPITAL CORP,85.2,AZ
1078,31/12/1950,1950,ABT,ABBOTT LABORATORIES,44.875,IL
1078,31/12/1951,1951,ABT,ABBOTT LABORATORIES,59,IL
1078,31/12/1952,1952,ABT,ABBOTT LABORATORIES,46.125,IL
1078,31/12/1953,1953,ABT,ABBOTT LABORATORIES,45,IL
1078,31/12/1954,1954,ABT,ABBOTT LABORATORIES,48.375,IL
1078,31/12/1955,1955,ABT,ABBOTT LABORATORIES,42.125,IL
1078,31/12/1956,1956,ABT,ABBOTT LABORATORIES,38.625,IL
1078,31/12/1957,1957,ABT,ABBOTT LABORATORIES,47.25,IL
1078,31/12/1958,1958,ABT,ABBOTT LABORATORIES,65.25,IL
1078,31/12/1959,1959,ABT,ABBOTT LABORATORIES,62.25,IL
1078,31/12/1960,1960,ABT,ABBOTT LABORATORIES,54,IL
1078,31/12/1961,1961,ABT,ABBOTT LABORATORIES,70,IL
1078,31/12/1962,1962,ABT,ABBOTT LABORATORIES,76.5,IL
1078,31/12/1963,1963,ABT,ABBOTT LABORATORIES,123.9999,IL
1078,31/12/1964,1964,ABT,ABBOTT LABORATORIES,47,IL
1078,31/12/1965,1965,ABT,ABBOTT LABORATORIES,47.5,IL
1078,31/12/1966,1966,ABT,ABBOTT LABORATORIES,46,IL
1078,31/12/1967,1967,ABT,ABBOTT LABORATORIES,47,IL
1078,31/12/1968,1968,ABT,ABBOTT LABORATORIES,68.75,IL
1078,31/12/1969,1969,ABT,ABBOTT LABORATORIES,76.5,IL
1078,31/12/1970,1970,ABT,ABBOTT LABORATORIES,75.5,IL
1078,31/12/1971,1971,ABT,ABBOTT LABORATORIES,64.5,IL
1078,31/12/1972,1972,ABT,ABBOTT LABORATORIES,70,IL
1078,31/12/1973,1973,ABT,ABBOTT LABORATORIES,49.875,IL
1078,31/12/1974,1974,ABT,ABBOTT LABORATORIES,50.75,IL
1078,31/12/1975,1975,ABT,ABBOTT LABORATORIES,41.25,IL
1078,31/12/1976,1976,ABT,ABBOTT LABORATORIES,49.125,IL
1078,31/12/1977,1977,ABT,ABBOTT LABORATORIES,56.5,IL
1078,31/12/1978,1978,ABT,ABBOTT LABORATORIES,33.75,IL
1078,31/12/1979,1979,ABT,ABBOTT LABORATORIES,41.125,IL
