SALARY,STOCKOPT,GVKEY,YEAR,BECAMECEO,LEFTOFC,TITLE,EXEC_LNAME,EXEC_FNAME,GENDER,TICKER,CONAME,PRICEC,STATE
534.808,,1075,1992,5/2/1990,5/2/1999,chmn.,Snell,Richard,MALE,PNW,PINNACLE WEST CAPITAL CORP,20.375,AZ
515.0,,1075,1993,5/2/1990,5/2/1999,chmn.,Snell,Richard,MALE,PNW,PINNACLE WEST CAPITAL CORP,22.375,AZ
515.0,,1075,1994,5/2/1990,5/2/1999,chmn.,Snell,Richard,MALE,PNW,PINNACLE WEST CAPITAL CORP,19.625,AZ
515.0,,1075,1995,5/2/1990,5/2/1999,chmn.,Snell,Richard,MALE,PNW,PINNACLE WEST CAPITAL CORP,28.75,AZ
287.5,,1075,1995,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,28.75,AZ
515.0,,1075,1996,5/2/1990,5/2/1999,chmn.,Snell,Richard,MALE,PNW,PINNACLE WEST CAPITAL CORP,31.75,AZ
325.0,,1075,1996,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,31.75,AZ
515.0,,1075,1997,5/2/1990,5/2/1999,chmn.,Snell,Richard,MALE,PNW,PINNACLE WEST CAPITAL CORP,42.375,AZ
420.834,,1075,1997,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,42.375,AZ
515.0,,1075,1998,5/2/1990,5/2/1999,chmn.,Snell,Richard,MALE,PNW,PINNACLE WEST CAPITAL CORP,42.375,AZ
450.0,,1075,1998,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,42.375,AZ
79.231,,1075,1999,5/2/1990,5/2/1999,chmn.,Snell,Richard,MALE,PNW,PINNACLE WEST CAPITAL CORP,30.5625,AZ
502.5,,1075,1999,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,30.5625,AZ
519.0,,1075,2000,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,47.625,AZ
607.5,,1075,2001,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,41.85,AZ
608.75,,1075,2002,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,34.09,AZ
16.667,,1075,2002,30/04/2009,15/11/2019,"Chairman, CEO & President","Brandt, CPA",Donald,MALE,PNW,PINNACLE WEST CAPITAL CORP,34.09,AZ
774.926,,1075,2003,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,40.02,AZ
324.66,,1075,2003,30/04/2009,15/11/2019,"Chairman, CEO & President","Brandt, CPA",Donald,MALE,PNW,PINNACLE WEST CAPITAL CORP,40.02,AZ
870.174,,1075,2004,1/2/1999,30/04/2009,"Director and Member of Finance, Nuclear & Operating Committee",Post,William,MALE,PNW,PINNACLE WEST CAPITAL CORP,44.41,AZ
372.668,,1075,2004,30/04/2009,15/11/2019,"Chairman, CEO & President","Brandt, CPA",Donald,MALE,PNW,PINNACLE WEST CAPITAL CORP,44.41,AZ
