GVKEY,DATE,YEAR,MLVALT
1075,31/12/2006,2006,5066.9217
1075,31/12/2007,2007,4261.6113
1075,31/12/2008,2008,3241.5314
1075,31/12/2009,2009,3710.4923
1075,31/12/2010,2010,4508.5165
1075,31/12/2011,2011,5263.4723
1075,31/12/2012,2012,5594.6981
1075,31/12/2013,2013,5830.8314
1075,31/12/2014,2014,7553.105
1075,31/12/2015,2015,7155.9904
1075,31/12/2016,2016,8687.6261
1075,31/12/2017,2017,9519.0354
1075,31/12/2018,2018,9551.0904
1078,31/12/2006,2006,74879.1065
1078,31/12/2007,2007,87027.4465
1078,31/12/2008,2008,82853.3492
1078,31/12/2009,2009,83747.5603
1078,31/12/2010,2010,74116.0034
1078,31/12/2011,2011,88302.4112
1078,31/12/2012,2012,103271.6885
1078,31/12/2013,2013,59338.5963
1078,31/12/2014,2014,67891.7357
1078,31/12/2015,2015,66137.3852
1078,31/12/2016,2016,56572.8983
1078,31/12/2017,2017,99507.3661
1078,31/12/2018,2018,126983.9223
1161,31/12/2006,2006,11131.45
1161,31/12/2007,2007,4545
1161,31/12/2008,2008,1315.44
1161,31/12/2009,2009,6495.28
1161,31/12/2010,2010,5586.94
1161,31/12/2011,2011,3769.2
1161,31/12/2012,2012,1711.2
1161,31/12/2013,2013,2805.75
1161,31/12/2014,2014,2071.92
1161,31/12/2015,2015,2273.04
1161,31/12/2016,2016,10602.9
1161,31/12/2017,2017,9940.76
1161,31/12/2018,2018,18552.3
1177,31/12/2006,2006,22280.88
1177,31/12/2007,2007,28651.399
1177,31/12/2008,2008,13004.55
1177,31/12/2009,2009,13656.36
1177,31/12/2010,2010,11728.044
1177,31/12/2011,2011,14753.843
1177,31/12/2012,2012,15171.156
1177,31/12/2013,2013,
1177,31/12/2014,2014,31072.734
1177,31/12/2015,2015,37787.94
1177,31/12/2016,2016,43614.317
1177,31/12/2017,2017,58951.452
1209,30/09/2006,2006,14418.9489
1209,30/09/2007,2007,21053.2026
1209,30/09/2008,2008,14337.3542
1209,30/09/2009,2009,16389.5508
1209,30/09/2010,2010,17707.1645
1209,30/09/2011,2011,16051.8285
1209,30/09/2012,2012,17571.7652
1209,30/09/2013,2013,22505.346
1209,30/09/2014,2014,27798.507
1209,30/09/2015,2015,27475.5012
1209,30/09/2016,2016,32676.5493
1209,30/09/2017,2017,33018.2821
1209,30/09/2018,2018,36670.1478
1300,31/12/2006,2006,36218.7821
1300,31/12/2007,2007,45965.3298
1300,31/12/2008,2008,24116.4584
1300,31/12/2009,2009,29956.9928
1300,31/12/2010,2010,41624.28
1300,31/12/2011,2011,42104.945
1300,31/12/2012,2012,49684.316
1300,31/12/2013,2013,71615.806
1300,31/12/2014,2014,78157.424
1300,31/12/2015,2015,79790.328
1300,31/12/2016,2016,88138.68
1300,31/12/2017,2017,115158.024
1300,31/12/2018,2018,96394.752
1380,31/12/2006,2006,15615.4423
1380,31/12/2007,2007,32335.716
1380,31/12/2008,2008,17493.7741
1380,31/12/2009,2009,19797.3545
1380,31/12/2010,2010,25846.1037
1380,31/12/2011,2011,19310.6368
1380,31/12/2012,2012,18087.3229
1380,31/12/2013,2013,27001.062
1380,31/12/2014,2014,21100.3397
1380,31/12/2015,2015,13867.5101
1380,31/12/2016,2016,19716.2177
1380,31/12/2017,2017,14955.6134
1380,31/12/2018,2018,11803.1175
1440,31/12/2006,2006,16890.4215
1440,31/12/2007,2007,18643.8811
1440,31/12/2008,2008,13514.0429
1440,31/12/2009,2009,16631.4987
1440,31/12/2010,2010,17299.4359
1440,31/12/2011,2011,19970.2041
1440,31/12/2012,2012,20728.3102
1440,31/12/2013,2013,22798.697
1440,31/12/2014,2014,29716.4894
1440,31/12/2015,2015,28613.6583
1440,31/12/2016,2016,30958.1875
