CO_PER_ROL,SALARY,STOCKOPT,GVKEY,YEAR,BECAMECEO,LEFTOFC,TITLE,EXEC_LNAME,EXEC_FNAME,GENDER,TICKER,CONAME,PRICEC,STATE,DATE,MLVALT,Name,Sector,Sector_Code,STATEID,BECAMECEOYE,LEFTOFCYE,SIMPLE_RETURN,SALCH,STOCH,SALARY_THOU,STOCKOPT_MIL,RETURNS,SAL_CH_PER,STO_CH_PER
79,1350.0,17737.752,1380,2007,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,100.86,NY,31/12/2007,32335.716,Hess Corporation,Energy,4.0,26,1995.0,,1.0346984062941296,0.08,0.0777953314731818,13.5,17.737752,103.46984062941296,8.000000000000007,7.779533147318185
79,1500.0,26334.067,1380,2008,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,53.64,NY,31/12/2008,17493.7741,Hess Corporation,Energy,4.0,26,1995.0,,-0.4681737061273051,0.1111111111111111,0.4846338476262379,15.0,26.334067,-46.817370612730514,11.111111111111116,48.4633847626238
79,1500.0,18950.608,1380,2009,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,60.5,NY,31/12/2009,19797.3545,Hess Corporation,Energy,4.0,26,1995.0,,0.127889634601044,0.0,-0.2803767074793271,15.0,18.950608,12.788963460104409,0.0,-28.037670747932708
79,1500.0,18188.947,1380,2010,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,76.54,NY,31/12/2010,25846.1037,Hess Corporation,Energy,4.0,26,1995.0,,0.2651239669421488,0.0,-0.0401919030777271,15.0,18.188947,26.51239669421488,0.0,-4.019190307772713
79,1500.0,17474.844,1380,2011,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,56.8,NY,31/12/2011,19310.6368,Hess Corporation,Energy,4.0,26,1995.0,,-0.2579043637313823,0.0,-0.0392602716363954,15.0,17.474844,-25.79043637313824,0.0,-3.926027163639545
79,1500.0,13141.266,1380,2012,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,52.96,NY,31/12/2012,18087.3229,Hess Corporation,Energy,4.0,26,1995.0,,-0.0676056338028168,0.0,-0.2479895099492733,15.0,13.141266,-6.760563380281681,0.0,-24.79895099492734
79,1500.0,16153.659,1380,2013,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,83.0,NY,31/12/2013,27001.062,Hess Corporation,Energy,4.0,26,1995.0,,0.5672205438066464,0.0,0.2292315671869058,15.0,16.153659,56.722054380664645,0.0,22.923156718690585
79,1500.0,22459.53,1380,2014,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,73.82,NY,31/12/2014,21100.3397,Hess Corporation,Energy,4.0,26,1995.0,,-0.1106024096385542,0.0,0.3903679655488579,15.0,22.45953,-11.060240963855428,0.0,39.03679655488579
79,1500.0,12933.682,1380,2015,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,48.48,NY,31/12/2015,13867.5101,Hess Corporation,Energy,4.0,26,1995.0,,-0.343267407206719,0.0,-0.4241338977262657,15.0,12.933682,-34.3267407206719,0.0,-42.41338977262657
79,1500.0,11705.332,1380,2016,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,62.29,NY,31/12/2016,19716.2177,Hess Corporation,Energy,4.0,26,1995.0,,0.2848597359735973,0.0,-0.09497295511054,15.0,11.705332,28.485973597359735,0.0,-9.497295511054006
79,1500.0,14571.906,1380,2017,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,47.47,NY,31/12/2017,14955.6134,Hess Corporation,Energy,4.0,26,1995.0,,-0.2379194092149622,0.0,0.2448947197738604,15.0,14.571906,-23.791940921496224,0.0,24.48947197738605
79,1500.0,12572.44,1380,2018,1995-05-03,,CEO & Director,Hess,John,MALE,HES,HESS CORP,40.5,NY,31/12/2018,11803.1175,Hess Corporation,Energy,4.0,26,1995.0,,-0.1468295765746787,0.0,-0.1372137591334997,15.0,12.57244,-14.682957657467878,0.0,-13.721375913349975
111,1238.461,52810.55,1447,2007,2001-01-01,2018-02-01,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,52.02,NY,31/12/2007,60239.16,American Express Co,Financials,5.0,26,2001.0,2018.0,-0.1425745838140761,0.1258736363636363,1.1134577633806777,12.38461,52.810550000000006,-14.257458381407616,12.587363636363635,111.34577633806776
111,1250.0,43687.984,1447,2008,2001-01-01,2018-02-01,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,18.55,NY,31/12/2008,21518.0,American Express Co,Financials,5.0,26,2001.0,2018.0,-0.6434063821607074,0.0093172090199045,-0.1727413556571557,12.5,43.687984,-64.34063821607074,0.9317209019904517,-17.274135565715575
