CO_PER_ROL,SALARY,STOCKOPT,GVKEY,YEAR,BECAMECEO,LEFTOFC,TITLE,EXEC_LNAME,EXEC_FNAME,GENDER,TICKER,CONAME,PRICEC,STATE,DATE,MLVALT,Name,Sector,Sector_Code,STATEID,BECAMECEOYE,LEFTOFCYE,SIMPLE_RETURN,SALCH,STOCH,SALARY_THOU,STOCKOPT_MIL,RETURNS,SAL_CH_PER,STO_CH_PER
79,1350.0,17737.752,1380,2007,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,100.86,NY,31/12/2007,32335.716,Hess Corporation,Energy,4,26,1995,,1.034698406,0.08,0.077795331,13.5,17.737752,-46.81737061,8.0,7.779533147
79,1500.0,26334.067,1380,2008,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,53.64,NY,31/12/2008,17493.7741,Hess Corporation,Energy,4,26,1995,,-0.468173706,0.111111111,0.484633848,15.0,26.334067,12.78896346,11.11111111,48.46338476
79,1500.0,18950.608,1380,2009,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,60.5,NY,31/12/2009,19797.3545,Hess Corporation,Energy,4,26,1995,,0.127889635,0.0,-0.280376707,15.0,18.950608,26.51239669,0.0,-28.03767075
79,1500.0,18188.947,1380,2010,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,76.54,NY,31/12/2010,25846.1037,Hess Corporation,Energy,4,26,1995,,0.265123967,0.0,-0.040191903,15.0,18.188947,-25.79043637,0.0,-4.019190308
79,1500.0,17474.844,1380,2011,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,56.8,NY,31/12/2011,19310.6368,Hess Corporation,Energy,4,26,1995,,-0.257904364,0.0,-0.039260272,15.0,17.474844,-6.76056338,0.0,-3.926027164
79,1500.0,13141.266,1380,2012,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,52.96,NY,31/12/2012,18087.3229,Hess Corporation,Energy,4,26,1995,,-0.067605634,0.0,-0.24798951,15.0,13.141266,56.72205438,0.0,-24.79895099
79,1500.0,16153.659,1380,2013,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,83.0,NY,31/12/2013,27001.062,Hess Corporation,Energy,4,26,1995,,0.567220544,0.0,0.229231567,15.0,16.153659,-11.06024096,0.0,22.92315672
79,1500.0,22459.53,1380,2014,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,73.82,NY,31/12/2014,21100.3397,Hess Corporation,Energy,4,26,1995,,-0.11060241,0.0,0.390367966,15.0,22.45953,-34.32674072,0.0,39.03679655
79,1500.0,12933.682,1380,2015,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,48.48,NY,31/12/2015,13867.5101,Hess Corporation,Energy,4,26,1995,,-0.343267407,0.0,-0.424133898,15.0,12.933682,28.4859736,0.0,-42.41338977
79,1500.0,11705.332,1380,2016,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,62.29,NY,31/12/2016,19716.2177,Hess Corporation,Energy,4,26,1995,,0.284859736,0.0,-0.094972955,15.0,11.705332,-23.79194092,0.0,-9.497295511
79,1500.0,14571.906,1380,2017,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,47.47,NY,31/12/2017,14955.6134,Hess Corporation,Energy,4,26,1995,,-0.237919409,0.0,0.24489472,15.0,14.571906,-14.68295766,0.0,24.48947198
79,1500.0,12572.44,1380,2018,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,40.5,NY,31/12/2018,11803.1175,Hess Corporation,Energy,4,26,1995,,-0.146829577,0.0,-0.137213759,15.0,12.57244,,0.0,-13.72137591
111,1238.461,52810.55,1447,2007,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,52.02,NY,31/12/2007,60239.16,American Express Co,Financials,5,26,2001,2018.0,-0.142574584,0.125873636,1.113457763,12.38461,52.81055,-64.34063822,12.58736364,111.3457763
111,1250.0,43687.984,1447,2008,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,18.55,NY,31/12/2008,21518.0,American Express Co,Financials,5,26,2001,2018.0,-0.643406382,0.009317209,-0.172741356,12.5,43.687984,118.4366577,0.931720902,-17.27413557
111,1201.923,17398.568,1447,2009,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,40.52,NY,31/12/2009,48299.84,American Express Co,Financials,5,26,2001,2018.0,1.184366577,-0.0384616,-0.601753928,12.01923,17.398568,5.923000987,-3.84616,-60.17539285
111,1942.308,16813.272,1447,2010,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,42.92,NY,31/12/2010,51375.24,American Express Co,Financials,5,26,2001,2018.0,0.05923001,0.616000359,-0.03364047,19.42308,16.813272,9.902143523,61.60003594,-3.364046972
111,2000.0,23038.692,1447,2011,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,47.17,NY,31/12/2011,54905.88,American Express Co,Financials,5,26,2001,2018.0,0.099021435,0.029702807,0.370268202,20.0,23.038692,21.85711257,2.970280718,37.02682024
111,2000.0,28491.734,1447,2012,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,57.48,NY,31/12/2012,63515.4,American Express Co,Financials,5,26,2001,2018.0,0.218571126,0.0,0.236690607,20.0,28.491734,57.84620738,0.0,23.66906073
111,2000.0,21837.42,1447,2013,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,90.73,NY,31/12/2013,96536.72,American Express Co,Financials,5,26,2001,2018.0,0.578462074,0.0,-0.23355244,20.0,21.83742,2.546015651,0.0,-23.35524402
111,2000.0,22796.083,1447,2014,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,93.04,NY,31/12/2014,95179.92,American Express Co,Financials,5,26,2001,2018.0,0.025460157,0.0,0.043900012,20.0,22.796083,-25.2472055,0.0,4.3900012
111,2000.0,21988.091,1447,2015,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,69.55,NY,31/12/2015,67393.95,American Express Co,Financials,5,26,2001,2018.0,-0.252472055,0.0,-0.035444335,20.0,21.988091,6.513299784,0.0,-3.544433489
111,2000.0,17463.639,1447,2016,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,74.08,NY,31/12/2016,,American Express Co,Financials,5,26,2001,2018.0,0.065132998,0.0,-0.205768295,20.0,17.463639,34.05777538,0.0,-20.57682952
111,2038.462,18611.373,1447,2017,1/1/2001,2/1/2018,Chairman & CEO,Chenault,Kenneth,MALE,AXP,AMERICAN EXPRESS CO,99.31,NY,31/12/2017,,American Express Co,Financials,5,26,2001,2018.0,0.340577754,0.019231,0.065721354,20.38462,18.611373,,1.9231,6.572135395
151,1547.308,13245.426,1602,2007,5/1/2000,5/23/2012,Chairman,Sharer,Kevin,MALE,AMGN,AMGEN INC,46.44,CA,31/12/2007,50480.28,Amgen Inc,Health Care,6,4,2000,2012.0,-0.320158103,0.043580191,-0.28828447,15.47308,13.245426,24.35400517,4.358019063,-28.82844699
151,1561.923,13780.489,1602,2008,5/1/2000,5/23/2012,Chairman,Sharer,Kevin,MALE,AMGN,AMGEN INC,57.75,CA,31/12/2008,60464.25,Amgen Inc,Health Care,6,4,2000,2012.0,0.243540052,0.009445437,0.040396058,15.61923,13.780489,-2.043290043,0.944543685,4.039605823
151,1682.308,15345.717,1602,2009,5/1/2000,5/23/2012,Chairman,Sharer,Kevin,MALE,AMGN,AMGEN INC,56.57,CA,31/12/2009,56287.15,Amgen Inc,Health Care,6,4,2000,2012.0,-0.0204329,0.077074862,0.113582907,16.82308,15.345717,-2.95209475,7.707486221,11.3582907
151,1748.846,21138.133,1602,2010,5/1/2000,5/23/2012,Chairman,Sharer,Kevin,MALE,AMGN,AMGEN INC,54.9,CA,31/12/2010,51166.8,Amgen Inc,Health Care,6,4,2000,2012.0,-0.029520947,0.039551616,0.377461412,17.48846,21.138133,16.95810565,3.955161599,37.74614115
151,1791.462,18850.311,1602,2011,5/1/2000,5/23/2012,Chairman,Sharer,Kevin,MALE,AMGN,AMGEN INC,64.21,CA,31/12/2011,51085.476,Amgen Inc,Health Care,6,4,2000,2012.0,0.169581056,0.024368069,-0.108231981,17.91462,18.850311,,2.4368069,-10.82319806
231,900.0,8979.526,1891,2008,8/31/2006,11/9/2011,Chief Executive Officer and Director,Butler,Gary,MALE,ADP,AUTOMATIC DATA PROCESSING,39.34,NJ,30/06/2008,21381.57,Automatic Data Processing,Information Technology,8,24,2006,2011.0,-0.11655064,0.058817301,-0.234063391,9.0,8.979526,8.845958312,5.881730107,-23.40633913
