CO_PER_ROL,SALARY,STOCKOPT,GVKEY,YEAR,BECAMECEO,LEFTOFC,TITLE,EXEC_LNAME,EXEC_FNAME,GENDER,TICKER,CONAME,PRICEC,STATE,DATE,MLVALT,Name,Sector,Sector_Code,STATEID,BECAMECEOYE,LEFTOFCYE,SIMPLE_RETURN,SALCH,STOCH,SALARY_THOU,STOCKOPT_MIL,RETURNS,SAL_CH_PER,STO_CH_PER
6,761.535,,1078,1992,12/1/1989,12/31/1998,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,30.375,IL,,,Abbott Laboratories,Health Care,6,13,1989,1998,,,,7.61535,,-2.469135802,,
6,772.615,,1078,1993,12/1/1989,12/31/1998,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,29.625,IL,,,Abbott Laboratories,Health Care,6,13,1989,1998,-0.024691358,0.014549561,,7.72615,,10.12658228,1.454956108,
6,794.269,,1078,1994,12/1/1989,12/31/1998,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,32.625,IL,,,Abbott Laboratories,Health Care,6,13,1989,1998,0.101265823,0.028026896,,7.94269,,27.5862069,2.802689567,
6,818.269,,1078,1995,12/1/1989,12/31/1998,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,41.625,IL,,,Abbott Laboratories,Health Care,6,13,1989,1998,0.275862069,0.030216463,,8.18269,,21.92192192,3.021646319,
6,846.923,,1078,1996,12/1/1989,12/31/1998,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,50.75,IL,,,Abbott Laboratories,Health Care,6,13,1989,1998,0.219219219,0.035017824,,8.46923,,29.06403941,3.501782421,
6,877.769,,1078,1997,12/1/1989,12/31/1998,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,65.5,IL,,,Abbott Laboratories,Health Care,6,13,1989,1998,0.290640394,0.036421257,,8.77769,,-25.19083969,3.642125671,
6,913.077,,1078,1998,12/1/1989,12/31/1998,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,49,IL,,,Abbott Laboratories,Health Care,6,13,1989,1998,-0.251908397,0.040224706,,9.13077,,,4.022470604,
11,874.999,,1161,1992,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,18.125,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,,,,8.74999,,-2.068965517,,
11,929,,1161,1993,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,17.75,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,-0.020689655,0.061715499,,9.29,,40.14084507,6.17154991,
11,952.225,,1161,1994,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,24.875,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,0.401408451,0.025,,9.52225,,-33.66834171,2.5,
11,978.887,,1161,1995,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,16.5,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,-0.336683417,0.027999685,,9.78887,,56.06060606,2.799968495,
11,1038.461,,1161,1996,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,25.75,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,0.560606061,0.060858914,,10.38461,,-31.06796117,6.085891426,
11,1000,,1161,1997,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,17.75,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,-0.310679612,-0.037036538,,10,,63.38028169,-3.703653772,
11,1000,,1161,1998,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,29,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,0.633802817,0,,10,,-0.215517241,0,
11,1000,,1161,1999,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,28.9375,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,-0.002155172,0,,10,,-52.26781857,0,
11,1000,,1161,2000,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,13.8125,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,-0.522678186,0,,10,,14.82352941,0,
11,1000,,1161,2001,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,15.86,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,0.148235294,0,,10,,-59.26860025,0,
11,916.838,,1161,2002,5/1/1969,4/25/2002,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,6.46,CA,,,Advanced Micro Devices,Information Technology,8,4,1969,2002,-0.592686003,-0.083162,,9.16838,,,-8.3162,
16,775.961,,1177,1992,3/1/1992,7/28/1997,chmn. & CEO,Compton,Ronald,MALE,AET,AETNA INC,46.5,CT,,,Aetna Inc,Health Care,6,6,1992,1997,,,,7.75961,,29.83870968,,
16,775,,1177,1993,3/1/1992,7/28/1997,chmn. & CEO,Compton,Ronald,MALE,AET,AETNA INC,60.375,CT,,,Aetna Inc,Health Care,6,6,1992,1997,0.298387097,-0.001238464,,7.75,,-21.94616977,-0.12384643,
16,775,,1177,1994,3/1/1992,7/28/1997,chmn. & CEO,Compton,Ronald,MALE,AET,AETNA INC,47.125,CT,,,Aetna Inc,Health Care,6,6,1992,1997,-0.219461698,0,,7.75,,46.94960212,0,
16,800.577,,1177,1995,3/1/1992,7/28/1997,chmn. & CEO,Compton,Ronald,MALE,AET,AETNA INC,69.25,CT,,,Aetna Inc,Health Care,6,6,1992,1997,0.469496021,0.033002581,,8.00577,,15.5234657,3.300258065,
16,839.231,,1177,1996,3/1/1992,7/28/1997,chmn. & CEO,Compton,Ronald,MALE,AET,AETNA INC,80,CT,,,Aetna Inc,Health Care,6,6,1992,1997,0.155234657,0.048282676,,8.39231,,-11.7975,4.828267612,
16,850,,1177,1997,3/1/1992,7/28/1997,chmn. & CEO,Compton,Ronald,MALE,AET,AETNA INC,70.562,CT,,,Aetna Inc,Health Care,6,6,1992,1997,-0.117975,0.012831985,,8.5,,,1.283198547,
28,475.962,,1209,1992,5/1/1992,11/30/2000,chairman & CEO,Wagner,Harold,MALE,APD,AIR PRODUCTS & CHEMICALS INC,46.75,PA,,,Air Products & Chemicals Inc,Materials,9,30,1992,2000,,,,4.75962,,-5.347593583,,
28,569.231,,1209,1993,5/1/1992,11/30/2000,chairman & CEO,Wagner,Harold,MALE,APD,AIR PRODUCTS & CHEMICALS INC,44.25,PA,,,Air Products & Chemicals Inc,Materials,9,30,1992,2000,-0.053475936,0.195958921,,5.69231,,0.847457627,19.59589211,
28,600,,1209,1994,5/1/1992,11/30/2000,chairman & CEO,Wagner,Harold,MALE,APD,AIR PRODUCTS & CHEMICALS INC,44.625,PA,,,Air Products & Chemicals Inc,Materials,9,30,1992,2000,0.008474576,0.054053627,,6,,18.20728291,5.405362674,
28,686.539,,1209,1995,5/1/1992,11/30/2000,chairman & CEO,Wagner,Harold,MALE,APD,AIR PRODUCTS & CHEMICALS INC,52.75,PA,,,Air Products & Chemicals Inc,Materials,9,30,1992,2000,0.182072829,0.144231667,,6.86539,,31.04265403,14.42316667,
28,738.077,,1209,1996,5/1/1992,11/30/2000,chairman & CEO,Wagner,Harold,MALE,APD,AIR PRODUCTS & CHEMICALS INC,69.125,PA,,,Air Products & Chemicals Inc,Materials,9,30,1992,2000,0.31042654,0.075069297,,7.38077,,18.98734177,7.506929686,
28,777.443,,1209,1997,5/1/1992,11/30/2000,chairman & CEO,Wagner,Harold,MALE,APD,AIR PRODUCTS & CHEMICALS INC,82.25,PA,,,Air Products & Chemicals Inc,Materials,9,30,1992,2000,0.189873418,0.053335899,,7.77443,,-51.36778116,5.333589856,
28,827.596,,1209,1998,5/1/1992,11/30/2000,chairman & CEO,Wagner,Harold,MALE,APD,AIR PRODUCTS & CHEMICALS INC,40,PA,,,Air Products & Chemicals Inc,Materials,9,30,1992,2000,-0.513677812,0.064510196,,8.27596,,-16.09375,6.45101956,
28,902.885,,1209,1999,5/1/1992,11/30/2000,chairman & CEO,Wagner,Harold,MALE,APD,AIR PRODUCTS & CHEMICALS INC,33.5625,PA,,,Air Products & Chemicals Inc,Materials,9,30,1992,2000,-0.1609375,0.090973132,,9.02885,,,9.097313182,
77,300,,1380,1992,1/1/1965,5/3/1995,chmn. & CEO,Hess,Leon,MALE,HES,HESS CORP,46,NY,,,Hess Corporation,Energy,4,26,1965,1995,,,,3,,-1.902173913,,
77,300,,1380,1993,1/1/1965,5/3/1995,chmn. & CEO,Hess,Leon,MALE,HES,HESS CORP,45.125,NY,,,Hess Corporation,Energy,4,26,1965,1995,-0.019021739,0,,3,,1.108033241,0,
77,300,,1380,1994,1/1/1965,5/3/1995,chmn. & CEO,Hess,Leon,MALE,HES,HESS CORP,45.625,NY,,,Hess Corporation,Energy,4,26,1965,1995,0.011080332,0,,3,,16.16438356,0,
77,300,,1380,1995,1/1/1965,5/3/1995,chmn. & CEO,Hess,Leon,MALE,HES,HESS CORP,53,NY,,,Hess Corporation,Energy,4,26,1965,1995,0.161643836,0,,3,,9.198113208,0,
79,1000,,1380,1996,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,57.875,NY,,,Hess Corporation,Energy,4,26,1995,,0.091981132,,,10,,-5.183585313,,
79,1000,,1380,1997,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,54.875,NY,,,Hess Corporation,Energy,4,26,1995,,-0.051835853,0,,10,,-9.339407745,0,
79,1000,,1380,1998,5/3/1995,,CEO & Director,Hess,John,MALE,HES,HESS CORP,49.75,NY,,,Hess Corporation,Energy,4,26,1995,,-0.093394077,0,,10,,14.07035176,0,
