CO_PER_ROL,SALARY,STOCKOPT,GVKEY,YEAR,BECAMECEO,LEFTOFC,TITLE,EXEC_LNAME,EXEC_FNAME,GENDER,TICKER,CONAME,PRICEC,STATE,DATE,MLVALT,Name,Sector,Sector_Code,STATEID,BECAMECEOYE,LEFTOFCYE,SIMPLE_RETURN,SALCH,STOCH,SALARY_THOU,STOCKOPT_MIL,RETURNS,SAL_CH_PER,STO_CH_PER
6,761.535,,1078,1992,1989-12-01,1998-12-31,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,30.375,IL,,,Abbott Laboratories,Health Care,6.0,13,1989.0,1998.0,,,,7.615349999999999,,,,
6,772.615,,1078,1993,1989-12-01,1998-12-31,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,29.625,IL,,,Abbott Laboratories,Health Care,6.0,13,1989.0,1998.0,-0.024691358024691357,0.014549561083863516,,7.7261500000000005,,-2.4691358024691357,1.4549561083863516,
6,794.269,,1078,1994,1989-12-01,1998-12-31,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,32.625,IL,,,Abbott Laboratories,Health Care,6.0,13,1989.0,1998.0,0.10126582278481022,0.02802689567248895,,7.94269,,10.126582278481022,2.802689567248895,
6,818.269,,1078,1995,1989-12-01,1998-12-31,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,41.625,IL,,,Abbott Laboratories,Health Care,6.0,13,1989.0,1998.0,0.27586206896551735,0.03021646318816429,,8.182690000000001,,27.586206896551737,3.021646318816429,
6,846.923,,1078,1996,1989-12-01,1998-12-31,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,50.75,IL,,,Abbott Laboratories,Health Care,6.0,13,1989.0,1998.0,0.21921921921921927,0.03501782421184241,,8.46923,,21.92192192192193,3.5017824211842408,
6,877.769,,1078,1997,1989-12-01,1998-12-31,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,65.5,IL,,,Abbott Laboratories,Health Care,6.0,13,1989.0,1998.0,0.29064039408866993,0.03642125671401053,,8.77769,,29.064039408866993,3.642125671401053,
6,913.077,,1078,1998,1989-12-01,1998-12-31,chmn.,Burnham,Duane,MALE,ABT,ABBOTT LABORATORIES,49.0,IL,,,Abbott Laboratories,Health Care,6.0,13,1989.0,1998.0,-0.25190839694656486,0.04022470604452888,,9.13077,,-25.190839694656486,4.022470604452888,
11,874.999,,1161,1992,1969-05-01,2002-04-25,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,18.125,CA,,,Advanced Micro Devices,Information Technology,8.0,4,1969.0,2002.0,,,,8.74999,,,,
11,929.0,,1161,1993,1969-05-01,2002-04-25,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,17.75,CA,,,Advanced Micro Devices,Information Technology,8.0,4,1969.0,2002.0,-0.020689655172413834,0.06171549910342744,,9.29,,-2.0689655172413834,6.171549910342744,
11,952.225,,1161,1994,1969-05-01,2002-04-25,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,24.875,CA,,,Advanced Micro Devices,Information Technology,8.0,4,1969.0,2002.0,0.40140845070422526,0.025000000000000133,,9.52225,,40.14084507042253,2.5000000000000133,
11,978.887,,1161,1995,1969-05-01,2002-04-25,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,16.5,CA,,,Advanced Micro Devices,Information Technology,8.0,4,1969.0,2002.0,-0.33668341708542715,0.02799968494841032,,9.78887,,-33.66834170854271,2.799968494841032,
11,1038.461,,1161,1996,1969-05-01,2002-04-25,chairman,Sanders III,Walter,MALE,AMD,ADVANCED MICRO DEVICES,25.75,CA,,,Advanced Micro Devices,Information Technology,8.0,4,1969.0,2002.0,0.5606060606060606,0.06085891425670176,,10.38461,,56.060606060606055,6.085891425670176,
