="Table II: Regression Results"

="",="Model I",="Model II",="Model III",="Model IV",="Model V"

="STO_CH_PER",="0.00127",="0.00527",="0.00256",="0.00316",="0.0137"
="",="(0.937)",="(0.765)",="(0.884)",="(0.859)",="(0.486)"

="YEAR=2007",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="YEAR=2008",="74.58***",="74.54***",="74.68***",="74.67***",="74.73***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2009",="51.34***",="51.21***",="51.45***",="51.41***",="51.90***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2010",="34.72***",="34.70***",="35.05***",="35.03***",="32.95***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2011",="48.28***",="48.35***",="48.57***",="48.54***",="48.49***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2012",="60.97***",="61.07***",="61.33***",="61.29***",="61.64***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2013",="43.43***",="43.51***",="43.86***",="43.83***",="44.45***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2014",="29.79***",="29.97***",="30.35***",="30.32***",="30.81***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2015",="54.54***",="54.71***",="55.10***",="55.08***",="56.69***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2016",="47.84***",="48.07***",="48.49***",="48.45***",="49.07***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2017",="24.76***",="25.12***",="25.43***",="25.40***",="26.27***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2018",="47.68***",="47.94***",="48.27***",="48.27***",="45.52***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="STATEID=1",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="STATEID=2",="21.91*",="22.49*",="22.31*",="22.33*",="21.15*"
="",="(0.043)",="(0.038)",="(0.039)",="(0.039)",="(0.049)"

="STATEID=3",="9.248",="9.538",="9.528",="9.532",="8.178"
="",="(0.355)",="(0.339)",="(0.339)",="(0.339)",="(0.409)"

="STATEID=4",="12.66",="12.74",="12.89",="12.90",="11.83"
="",="(0.143)",="(0.140)",="(0.134)",="(0.134)",="(0.167)"

="STATEID=5",="0.599",="0.438",="0.293",="0.288",="-1.198"
="",="(0.948)",="(0.962)",="(0.974)",="(0.975)",="(0.897)"

="STATEID=6",="17.51",="17.55",="17.45",="17.45",="7.361"
="",="(0.162)",="(0.161)",="(0.163)",="(0.163)",="(0.407)"

="STATEID=7",="19.29",="19.36",="18.99",="19.01",="17.74"
="",="(0.090)",="(0.088)",="(0.093)",="(0.093)",="(0.115)"

="STATEID=8",="17.35",="18.50",="19.26",="19.23",="18.61"
="",="(0.207)",="(0.184)",="(0.165)",="(0.166)",="(0.172)"

="STATEID=9",="11.22",="11.20",="10.95",="11.01",="9.489"
="",="(0.202)",="(0.202)",="(0.211)",="(0.208)",="(0.273)"

="STATEID=10",="11.31",="11.45",="11.40",="11.40",="11.44"
="",="(0.203)",="(0.196)",="(0.197)",="(0.198)",="(0.198)"

="STATEID=11",="10.67",="10.75",="10.17",="10.19",="19.37"
="",="(0.434)",="(0.430)",="(0.456)",="(0.454)",="(0.311)"

="STATEID=12",="23.72",="23.72",="23.80",="23.89",="22.38"
="",="(0.456)",="(0.456)",="(0.456)",="(0.454)",="(0.483)"

="STATEID=13",="12.38",="12.41",="12.37",="12.38",="10.99"
="",="(0.150)",="(0.148)",="(0.148)",="(0.149)",="(0.203)"

="STATEID=14",="16.86",="16.89",="17.10",="17.08",="16.48"
="",="(0.090)",="(0.089)",="(0.084)",="(0.085)",="(0.126)"

="STATEID=15",="8.835",="8.583",="8.736",="8.708",="7.135"
="",="(0.350)",="(0.365)",="(0.355)",="(0.357)",="(0.447)"

="STATEID=16",="3.276",="3.719",="3.916",="3.923",="2.671"
="",="(0.746)",="(0.712)",="(0.696)",="(0.696)",="(0.790)"

="STATEID=17",="11.77",="11.76",="11.93",="11.94",="10.88"
="",="(0.170)",="(0.170)",="(0.163)",="(0.163)",="(0.201)"

="STATEID=18",="7.857",="7.962",="7.348",="7.356",="8.038"
="",="(0.379)",="(0.372)",="(0.409)",="(0.409)",="(0.368)"

="STATEID=19",="21.90*",="21.89*",="22.01*",="22.06*",="20.56"
="",="(0.039)",="(0.039)",="(0.038)",="(0.037)",="(0.051)"

="STATEID=20",="11.54",="11.48",="11.13",="11.14",="9.697"
="",="(0.174)",="(0.176)",="(0.188)",="(0.187)",="(0.249)"

="STATEID=21",="12.87",="12.50",="12.24",="12.24",="11.02"
="",="(0.171)",="(0.185)",="(0.194)",="(0.193)",="(0.239)"

="STATEID=22",="13.40",="13.44",="13.39",="13.41",="12.23"
="",="(0.124)",="(0.122)",="(0.123)",="(0.122)",="(0.156)"

="STATEID=23",="14.96",="14.62",="13.04",="13.08",="13.93"
="",="(0.224)",="(0.237)",="(0.294)",="(0.292)",="(0.342)"

="STATEID=24",="6.972",="7.359",="8.082",="8.070",="6.978"
="",="(0.429)",="(0.402)",="(0.356)",="(0.357)",="(0.423)"

="STATEID=25",="16.60",="16.23",="22.26",="21.92",="19.52"
="",="(0.250)",="(0.260)",="(0.125)",="(0.133)",="(0.179)"

="STATEID=26",="14.63",="15.20",="15.53",="15.52",="13.65"
="",="(0.085)",="(0.073)",="(0.066)",="(0.067)",="(0.101)"

="STATEID=27",="21.17",="21.19",="21.29",="21.31",="21.20"
="",="(0.075)",="(0.074)",="(0.073)",="(0.072)",="(0.085)"

="STATEID=28",="15.70",="15.73",="14.81",="14.88",="13.70"
="",="(0.110)",="(0.110)",="(0.131)",="(0.129)",="(0.160)"

="STATEID=29",="9.361",="9.500",="10.08",="10.09",="8.508"
="",="(0.362)",="(0.351)",="(0.323)",="(0.323)",="(0.403)"

="STATEID=30",="9.293",="9.594",="9.908",="9.911",="8.858"
="",="(0.290)",="(0.274)",="(0.257)",="(0.257)",="(0.312)"

="STATEID=31",="12.59",="13.30",="13.12",="13.12",="11.87"
="",="(0.168)",="(0.142)",="(0.146)",="(0.146)",="(0.186)"

="STATEID=32",="12.77",="12.22",="12.69",="12.68",="11.11"
="",="(0.290)",="(0.312)",="(0.292)",="(0.293)",="(0.359)"

="STATEID=33",="12.69",="12.71",="12.80",="12.80",="12.28"
="",="(0.142)",="(0.140)",="(0.136)",="(0.136)",="(0.152)"

="STATEID=34",="15.77",="16.03",="15.61",="15.64",="14.43"
="",="(0.076)",="(0.071)",="(0.078)",="(0.077)",="(0.102)"

="STATEID=35",="11.23",="10.37",="11.08",="11.05",="12.21"
="",="(0.436)",="(0.473)",="(0.443)",="(0.445)",="(0.397)"

="STATEID=36",="21.02*",="21.26*",="21.46*",="21.44*",="20.45*"
="",="(0.022)",="(0.020)",="(0.019)",="(0.019)",="(0.021)"

="STATEID=37",="17.26",="16.89",="15.90",="15.94",="15.23"
="",="(0.063)",="(0.071)",="(0.089)",="(0.087)",="(0.103)"

="STATEID=38",="13.39",="13.14",="13.03",="13.06",="11.73"
="",="(0.153)",="(0.162)",="(0.165)",="(0.164)",="(0.208)"

="Sector_Code=1",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Sector_Code=2",="-5.173",="-4.465",="-4.374",="-4.351",="-3.480"
="",="(0.311)",="(0.364)",="(0.374)",="(0.375)",="(0.470)"

="Sector_Code=3",="-10.21*",="-10.26*",="-10.58*",="-10.55*",="-10.45*"
="",="(0.031)",="(0.031)",="(0.027)",="(0.027)",="(0.029)"

="Sector_Code=4",="-20.32***",="-20.11***",="-19.96***",="-19.96***",="-19.98***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Sector_Code=5",="-5.944",="-6.125",="-6.691",="-6.653",="-9.251*"
="",="(0.218)",="(0.212)",="(0.176)",="(0.178)",="(0.044)"

="Sector_Code=6",="-2.250",="-2.072",="-2.522",="-2.492",="-2.294"
="",="(0.633)",="(0.656)",="(0.591)",="(0.595)",="(0.627)"

="Sector_Code=7",="-9.452*",="-9.435*",="-9.682*",="-9.668*",="-9.521*"
="",="(0.029)",="(0.029)",="(0.026)",="(0.026)",="(0.028)"

="Sector_Code=8",="-0.850",="-0.946",="-2.266",="-2.216",="-1.747"
="",="(0.841)",="(0.824)",="(0.610)",="(0.616)",="(0.698)"

="Sector_Code=9",="-2.150",="-2.285",="-2.678",="-2.642",="-2.932"
="",="(0.706)",="(0.693)",="(0.645)",="(0.646)",="(0.611)"

="Sector_Code=10",="-19.87**",="-19.45**",="-19.23**",="-19.22**",="-18.91**"
="",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.007)"

="Sector_Code=11",="-10.02*",="-10.21*",="-10.48*",="-10.48*",="-10.60*"
="",="(0.031)",="(0.031)",="(0.028)",="(0.028)",="(0.026)"

="STOCKOPT_MIL",="",="-0.125",="-0.0375",="-0.0419",="-0.0485"
="",="",="(0.273)",="(0.740)",="(0.720)",="(0.700)"

="SALARY_THOU",="",="",="-0.353*",="-0.338",="-0.307"
="",="",="",="(0.044)",="(0.051)",="(0.097)"

="SAL_CH_PER",="",="",="",="-0.00703",="0.00616"
="",="",="",="",="(0.835)",="(0.852)"

="MLVALT",="",="",="",="",="-0.000000889"
="",="",="",="",="",="(0.941)"

="Constant",="-40.84***",="-39.63***",="-36.51***",="-36.62***",="-35.87***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Observations",="3836",="3834",="3834",="3834",="3620"
="Adjusted R-squared",="0.122",="0.122",="0.123",="0.122",="0.133"

="p-values in parentheses"
="Note: All models contain year, state, sector fixed effects. "
="* p<0.05, ** p<0.01, *** p<0.001"
