="Table II: Regression Results"

="",="Model I",="Model II",="Model III",="Model IV",="Model V"

="STO_CH_PER",="0.0553***",="0.0546***",="0.0530***",="0.0507***",="0.0518***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2007",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="YEAR=2008",="-43.17***",="-43.16***",="-43.06***",="-43.01***",="-42.80***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2009",="35.30***",="35.32***",="35.46***",="35.60***",="36.06***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2010",="12.48***",="12.54***",="12.75***",="12.81***",="13.48***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2011",="-8.485**",="-8.493**",="-8.343**",="-8.232**",="-8.141**"
="",="(0.004)",="(0.004)",="(0.005)",="(0.006)",="(0.008)"

="YEAR=2012",="8.032*",="8.038*",="8.195**",="8.327**",="7.866*"
="",="(0.011)",="(0.011)",="(0.010)",="(0.008)",="(0.017)"

="YEAR=2013",="23.84***",="23.83***",="24.06***",="24.17***",="24.06***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2014",="4.684",="4.662",="4.857",="5.016",="4.976"
="",="(0.083)",="(0.084)",="(0.070)",="(0.062)",="(0.074)"

="YEAR=2015",="-12.67***",="-12.69***",="-12.44***",="-12.33***",="-12.54***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2016",="10.70**",="10.67**",="10.94**",="11.08**",="11.53**"
="",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)"

="YEAR=2017",="11.06***",="11.01***",="11.20***",="11.31***",="10.83***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)"

="YEAR=2018",="-15.56***",="-15.59***",="-15.36***",="-15.36***",="-15.65***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="STATEID=1",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="STATEID=2",="15.50",="15.42",="15.29",="15.27",="13.60"
="",="(0.095)",="(0.097)",="(0.100)",="(0.100)",="(0.147)"

="STATEID=3",="1.743",="1.685",="1.651",="1.635",="2.178"
="",="(0.855)",="(0.859)",="(0.862)",="(0.863)",="(0.819)"

="STATEID=4",="6.283",="6.223",="6.280",="6.225",="7.002"
="",="(0.424)",="(0.429)",="(0.423)",="(0.426)",="(0.374)"

="STATEID=5",="-8.989",="-8.993",="-9.139",="-9.110",="-8.734"
="",="(0.278)",="(0.278)",="(0.269)",="(0.269)",="(0.299)"

="STATEID=6",="1.121",="1.097",="0.984",="1.009",="1.136"
="",="(0.889)",="(0.892)",="(0.903)",="(0.900)",="(0.889)"

="STATEID=7",="5.769",="5.759",="5.447",="5.395",="5.320"
="",="(0.509)",="(0.510)",="(0.533)",="(0.536)",="(0.544)"

="STATEID=8",="4.638",="4.479",="4.937",="5.062",="5.353"
="",="(0.617)",="(0.631)",="(0.595)",="(0.586)",="(0.564)"

="STATEID=9",="5.384",="5.362",="5.157",="4.969",="5.195"
="",="(0.492)",="(0.494)",="(0.510)",="(0.525)",="(0.507)"

="STATEID=10",="4.355",="4.320",="4.251",="4.246",="3.597"
="",="(0.582)",="(0.585)",="(0.590)",="(0.589)",="(0.650)"

="STATEID=11",="8.330",="8.314",="7.914",="7.809",="27.72*"
="",="(0.415)",="(0.416)",="(0.439)",="(0.445)",="(0.035)"

="STATEID=12",="18.97",="18.89",="18.90",="18.53",="19.50"
="",="(0.545)",="(0.547)",="(0.546)",="(0.556)",="(0.536)"

="STATEID=13",="7.559",="7.666",="7.589",="7.587",="7.761"
="",="(0.350)",="(0.344)",="(0.347)",="(0.346)",="(0.345)"

="STATEID=14",="6.784",="6.768",="6.896",="6.968",="8.230"
="",="(0.441)",="(0.443)",="(0.433)",="(0.427)",="(0.380)"

="STATEID=15",="-0.425",="-0.416",="-0.370",="-0.277",="0.236"
="",="(0.962)",="(0.963)",="(0.967)",="(0.975)",="(0.979)"

="STATEID=16",="4.838",="4.766",="4.872",="4.842",="5.206"
="",="(0.636)",="(0.641)",="(0.633)",="(0.634)",="(0.610)"

="STATEID=17",="4.751",="4.731",="4.774",="4.743",="5.225"
="",="(0.542)",="(0.544)",="(0.539)",="(0.541)",="(0.502)"

="STATEID=18",="7.490",="7.473",="7.031",="6.981",="8.531"
="",="(0.349)",="(0.350)",="(0.379)",="(0.381)",="(0.288)"

="STATEID=19",="8.074",="8.057",="8.077",="7.927",="8.151"
="",="(0.360)",="(0.361)",="(0.359)",="(0.368)",="(0.355)"

="STATEID=20",="4.108",="4.109",="3.863",="3.799",="3.206"
="",="(0.593)",="(0.593)",="(0.614)",="(0.619)",="(0.676)"

="STATEID=21",="7.086",="7.125",="6.904",="6.870",="6.899"
="",="(0.455)",="(0.452)",="(0.465)",="(0.467)",="(0.467)"

="STATEID=22",="4.577",="4.560",="4.465",="4.389",="4.259"
="",="(0.559)",="(0.561)",="(0.568)",="(0.574)",="(0.586)"

="STATEID=23",="3.604",="3.649",="2.626",="2.430",="4.204"
="",="(0.722)",="(0.719)",="(0.796)",="(0.811)",="(0.656)"

="STATEID=24",="1.442",="1.366",="1.747",="1.802",="2.120"
="",="(0.856)",="(0.864)",="(0.826)",="(0.820)",="(0.789)"

="STATEID=25",="3.830",="3.857",="7.569",="8.899",="11.56"
="",="(0.772)",="(0.771)",="(0.577)",="(0.510)",="(0.395)"

="STATEID=26",="6.117",="6.024",="6.189",="6.220",="5.716"
="",="(0.423)",="(0.431)",="(0.417)",="(0.413)",="(0.453)"

="STATEID=27",="7.749",="7.740",="7.776",="7.717",="7.898"
="",="(0.346)",="(0.346)",="(0.343)",="(0.346)",="(0.339)"

="STATEID=28",="7.824",="7.810",="7.158",="6.959",="6.964"
="",="(0.415)",="(0.416)",="(0.457)",="(0.469)",="(0.469)"

="STATEID=29",="1.747",="1.698",="2.047",="2.058",="2.371"
="",="(0.850)",="(0.855)",="(0.825)",="(0.824)",="(0.798)"

="STATEID=30",="5.933",="5.883",="6.046",="6.041",="6.588"
="",="(0.462)",="(0.467)",="(0.453)",="(0.452)",="(0.417)"

="STATEID=31",="4.738",="4.639",="4.484",="4.455",="4.696"
="",="(0.570)",="(0.578)",="(0.590)",="(0.591)",="(0.572)"

="STATEID=32",="1.310",="1.369",="1.649",="1.678",="1.809"
="",="(0.904)",="(0.900)",="(0.880)",="(0.877)",="(0.868)"

="STATEID=33",="5.966",="5.957",="5.985",="5.977",="6.051"
="",="(0.453)",="(0.453)",="(0.450)",="(0.449)",="(0.444)"

="STATEID=34",="7.857",="7.807",="7.492",="7.393",="7.021"
="",="(0.338)",="(0.342)",="(0.362)",="(0.367)",="(0.394)"

="STATEID=35",="4.238",="4.353",="4.756",="4.872",="4.696"
="",="(0.754)",="(0.747)",="(0.725)",="(0.719)",="(0.729)"

="STATEID=36",="10.17",="10.13",="10.20",="10.27",="9.004"
="",="(0.227)",="(0.230)",="(0.226)",="(0.221)",="(0.270)"

="STATEID=37",="14.64",="14.67",="14.01",="13.85",="12.33"
="",="(0.082)",="(0.082)",="(0.096)",="(0.099)",="(0.145)"

="STATEID=38",="3.304",="3.315",="3.185",="3.099",="3.328"
="",="(0.691)",="(0.690)",="(0.701)",="(0.708)",="(0.688)"

="Sector_Code=1",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Sector_Code=2",="5.194",="5.105",="5.177",="5.091",="5.458"
="",="(0.159)",="(0.171)",="(0.164)",="(0.171)",="(0.142)"

="Sector_Code=3",="-5.509*",="-5.514*",="-5.693**",="-5.811**",="-6.322**"
="",="(0.011)",="(0.011)",="(0.009)",="(0.007)",="(0.004)"

="Sector_Code=4",="-8.750*",="-8.780*",="-8.670*",="-8.681*",="-8.856*"
="",="(0.038)",="(0.037)",="(0.040)",="(0.039)",="(0.038)"

="Sector_Code=5",="-5.599**",="-5.585**",="-5.951**",="-6.104**",="-6.055**"
="",="(0.004)",="(0.005)",="(0.003)",="(0.002)",="(0.003)"

="Sector_Code=6",="3.208",="3.184",="2.917",="2.794",="1.868"
="",="(0.249)",="(0.254)",="(0.298)",="(0.319)",="(0.517)"

="Sector_Code=7",="-3.406",="-3.420",="-3.571",="-3.638",="-3.916*"
="",="(0.082)",="(0.081)",="(0.069)",="(0.063)",="(0.046)"

="Sector_Code=8",="4.937",="5.018",="4.191",="3.999",="2.367"
="",="(0.069)",="(0.065)",="(0.144)",="(0.158)",="(0.427)"

="Sector_Code=9",="1.262",="1.268",="0.995",="0.857",="0.716"
="",="(0.753)",="(0.752)",="(0.805)",="(0.832)",="(0.859)"

="Sector_Code=10",="-8.589",="-8.640",="-8.512",="-8.593",="-9.897"
="",="(0.090)",="(0.087)",="(0.093)",="(0.090)",="(0.057)"

="Sector_Code=11",="-5.682**",="-5.656**",="-5.840**",="-5.868**",="-6.057**"
="",="(0.009)",="(0.009)",="(0.007)",="(0.007)",="(0.005)"

="STOCKOPT_MIL",="",="0.0171",="0.0714",="0.0882",="0.0669"
="",="",="(0.800)",="(0.355)",="(0.254)",="(0.413)"

="SALARY_THOU",="",="",="-0.221",="-0.281",="-0.433**"
="",="",="",="(0.145)",="(0.053)",="(0.007)"

="SAL_CH_PER",="",="",="",="0.0272",="0.0329"
="",="",="",="",="(0.386)",="(0.323)"

="MLVALT",="",="",="",="",="0.0000215*"
="",="",="",="",="",="(0.027)"

="Constant",="1.738",="1.577",="3.565",="4.002",="5.611"
="",="(0.828)",="(0.845)",="(0.665)",="(0.625)",="(0.498)"

="Observations",="4025",="4023",="4023",="4023",="3797"
="Adjusted R-squared",="0.253",="0.253",="0.253",="0.253",="0.253"

="p-values in parentheses"
="Note: All models contain year, state, sector fixed effects. "
="* p<0.05, ** p<0.01, *** p<0.001"
