="Table II: Regression Results"

="",="Model I",="Model II",="Model III",="Model IV",="Model V"

="RETURNS",="0.00200",="0.00782",="0.00376",="0.00446",="0.0195"
="",="(0.935)",="(0.745)",="(0.879)",="(0.852)",="(0.372)"

="YEAR=2007",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="YEAR=2008",="-7.243",="-6.689",="-5.548",="-4.584",="-9.302"
="",="(0.247)",="(0.269)",="(0.356)",="(0.443)",="(0.109)"

="YEAR=2009",="-8.072",="-5.988",="-4.372",="-2.217",="-5.094"
="",="(0.171)",="(0.298)",="(0.447)",="(0.697)",="(0.387)"

="YEAR=2010",="15.10*",="14.04*",="15.88**",="16.18**",="14.01*"
="",="(0.013)",="(0.018)",="(0.007)",="(0.006)",="(0.022)"

="YEAR=2011",="-3.897",="-5.112",="-3.656",="-1.803",="-4.875"
="",="(0.455)",="(0.311)",="(0.466)",="(0.716)",="(0.344)"

="YEAR=2012",="-4.497",="-6.534",="-4.784",="-2.513",="-6.684"
="",="(0.442)",="(0.252)",="(0.399)",="(0.657)",="(0.223)"

="YEAR=2013",="-8.021",="-8.972",="-6.721",="-4.763",="-7.731"
="",="(0.152)",="(0.097)",="(0.212)",="(0.373)",="(0.164)"

="YEAR=2014",="1.652",="-1.386",="0.841",="2.789",="2.138"
="",="(0.767)",="(0.797)",="(0.875)",="(0.597)",="(0.696)"

="YEAR=2015",="-15.31**",="-17.21***",="-14.53**",="-12.39**",="-15.77**"
="",="(0.002)",="(0.000)",="(0.002)",="(0.008)",="(0.001)"

="YEAR=2016",="-1.828",="-5.428",="-2.838",="-0.552",="-4.122"
="",="(0.724)",="(0.283)",="(0.569)",="(0.912)",="(0.403)"

="YEAR=2017",="-3.903",="-9.157",="-7.215",="-5.265",="-5.930"
="",="(0.444)",="(0.061)",="(0.134)",="(0.273)",="(0.233)"

="YEAR=2018",="-10.44",="-13.97**",="-11.78*",="-11.62*",="-12.59*"
="",="(0.057)",="(0.008)",="(0.025)",="(0.020)",="(0.014)"

="STATEID=1",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="STATEID=2",="-15.51",="-23.40",="-23.96*",="-24.26*",="-18.96"
="",="(0.247)",="(0.064)",="(0.050)",="(0.035)",="(0.094)"

="STATEID=3",="3.253",="-1.131",="-1.135",="-1.323",="-3.012"
="",="(0.811)",="(0.929)",="(0.927)",="(0.910)",="(0.798)"

="STATEID=4",="8.808",="7.436",="8.191",="7.023",="4.822"
="",="(0.447)",="(0.509)",="(0.458)",="(0.504)",="(0.634)"

="STATEID=5",="0.927",="3.465",="2.619",="2.860",="-2.798"
="",="(0.938)",="(0.763)",="(0.817)",="(0.792)",="(0.783)"

="STATEID=6",="10.99",="9.735",="9.126",="9.126",="9.128"
="",="(0.443)",="(0.480)",="(0.500)",="(0.485)",="(0.509)"

="STATEID=7",="7.302",="5.728",="3.632",="2.106",="1.773"
="",="(0.619)",="(0.687)",="(0.794)",="(0.877)",="(0.896)"

="STATEID=8",="8.745",="-9.105",="-4.727",="-2.665",="-3.037"
="",="(0.563)",="(0.447)",="(0.669)",="(0.796)",="(0.770)"

="STATEID=9",="9.315",="9.203",="7.768",="4.392",="3.503"
="",="(0.452)",="(0.446)",="(0.513)",="(0.688)",="(0.749)"

="STATEID=10",="-2.875",="-4.753",="-4.923",="-4.766",="-4.448"
="",="(0.780)",="(0.635)",="(0.614)",="(0.605)",="(0.630)"

="STATEID=11",="15.46",="13.44",="10.08",="8.191",="12.31"
="",="(0.362)",="(0.407)",="(0.524)",="(0.594)",="(0.603)"

="STATEID=12",="-6.984",="-5.818",="-5.184",="-10.31",="-12.65"
="",="(0.638)",="(0.680)",="(0.706)",="(0.534)",="(0.437)"

="STATEID=13",="2.686",="0.964",="0.793",="0.628",="1.100"
="",="(0.799)",="(0.925)",="(0.937)",="(0.947)",="(0.908)"

="STATEID=14",="0.619",="0.0306",="1.263",="2.323",="7.979"
="",="(0.959)",="(0.998)",="(0.913)",="(0.835)",="(0.483)"

="STATEID=15",="1.945",="5.747",="6.535",="7.891",="6.298"
="",="(0.888)",="(0.666)",="(0.616)",="(0.531)",="(0.615)"

="STATEID=16",="-4.795",="-11.01",="-9.740",="-9.781",="-11.06"
="",="(0.753)",="(0.450)",="(0.492)",="(0.466)",="(0.412)"

="STATEID=17",="7.663",="7.505",="8.357",="7.497",="7.334"
="",="(0.500)",="(0.496)",="(0.437)",="(0.465)",="(0.478)"

="STATEID=18",="6.110",="4.199",="0.780",="0.269",="1.243"
="",="(0.670)",="(0.769)",="(0.956)",="(0.984)",="(0.932)"

="STATEID=19",="2.926",="2.812",="3.522",="0.736",="-0.338"
="",="(0.801)",="(0.804)",="(0.749)",="(0.944)",="(0.974)"

="STATEID=20",="2.437",="3.150",="1.202",="0.148",="-1.109"
="",="(0.830)",="(0.777)",="(0.912)",="(0.989)",="(0.915)"

="STATEID=21",="-0.0568",="5.522",="4.013",="3.442",="2.835"
="",="(0.996)",="(0.634)",="(0.723)",="(0.748)",="(0.792)"

="STATEID=22",="7.719",="6.719",="6.367",="4.646",="5.036"
="",="(0.494)",="(0.542)",="(0.555)",="(0.644)",="(0.617)"

="STATEID=23",="11.68",="16.02",="7.113",="4.195",="1.512"
="",="(0.599)",="(0.479)",="(0.748)",="(0.847)",="(0.922)"

="STATEID=24",="0.116",="-5.499",="-1.399",="-0.697",="-0.520"
="",="(0.991)",="(0.596)",="(0.890)",="(0.942)",="(0.957)"

="STATEID=25",="-14.06",="-7.741",="25.69",="44.35**",="37.90*"
="",="(0.429)",="(0.630)",="(0.151)",="(0.008)",="(0.022)"

="STATEID=26",="-6.168",="-14.25",="-12.17",="-11.30",="-9.378"
="",="(0.545)",="(0.152)",="(0.208)",="(0.216)",="(0.308)"

="STATEID=27",="1.961",="1.430",="2.044",="0.861",="-0.249"
="",="(0.851)",="(0.888)",="(0.836)",="(0.926)",="(0.979)"

="STATEID=28",="3.947",="3.301",="-1.776",="-5.687",="-7.358"
="",="(0.771)",="(0.786)",="(0.880)",="(0.618)",="(0.519)"

="STATEID=29",="10.71",="8.287",="11.43",="10.98",="10.30"
="",="(0.532)",="(0.594)",="(0.449)",="(0.455)",="(0.482)"

="STATEID=30",="6.695",="1.794",="3.538",="3.230",="2.669"
="",="(0.570)",="(0.876)",="(0.752)",="(0.762)",="(0.806)"

="STATEID=31",="-3.621",="-14.09",="-14.83",="-14.59",="-15.55"
="",="(0.803)",="(0.301)",="(0.266)",="(0.250)",="(0.219)"

="STATEID=32",="16.25",="23.40",="25.69",="25.78",="24.28"
="",="(0.552)",="(0.381)",="(0.333)",="(0.326)",="(0.360)"

="STATEID=33",="2.693",="2.132",="2.620",="2.476",="1.901"
="",="(0.817)",="(0.849)",="(0.810)",="(0.811)",="(0.855)"

="STATEID=34",="-1.943",="-5.743",="-7.902",="-9.079",="-9.575"
="",="(0.852)",="(0.573)",="(0.427)",="(0.333)",="(0.309)"

="STATEID=35",="-7.850",="5.379",="9.269",="10.82",="10.82"
="",="(0.498)",="(0.639)",="(0.427)",="(0.340)",="(0.345)"

="STATEID=36",="2.255",="-1.452",="-0.241",="0.688",="-2.434"
="",="(0.837)",="(0.892)",="(0.981)",="(0.944)",="(0.803)"

="STATEID=37",="-0.835",="4.844",="-0.635",="-3.206",="0.362"
="",="(0.941)",="(0.658)",="(0.953)",="(0.754)",="(0.972)"

="STATEID=38",="-0.869",="3.058",="2.471",="0.970",="-0.308"
="",="(0.945)",="(0.802)",="(0.837)",="(0.934)",="(0.979)"

="Sector_Code=1",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Sector_Code=2",="-0.181",="-10.69",="-10.04",="-11.03",="-11.73"
="",="(0.987)",="(0.279)",="(0.296)",="(0.247)",="(0.221)"

="Sector_Code=3",="-2.040",="-1.007",="-2.762",="-4.334",="-2.591"
="",="(0.695)",="(0.842)",="(0.581)",="(0.373)",="(0.597)"

="Sector_Code=4",="-3.804",="-6.622",="-5.795",="-5.553",="-3.627"
="",="(0.449)",="(0.186)",="(0.245)",="(0.262)",="(0.470)"

="Sector_Code=5",="-2.048",="0.908",="-2.256",="-4.412",="-4.875"
="",="(0.633)",="(0.829)",="(0.593)",="(0.282)",="(0.227)"

="Sector_Code=6",="-7.694",="-9.864*",="-12.21**",="-13.57**",="-12.65**"
="",="(0.074)",="(0.018)",="(0.004)",="(0.001)",="(0.003)"

="Sector_Code=7",="-4.922",="-4.711",="-6.042",="-6.685",="-5.889"
="",="(0.234)",="(0.245)",="(0.129)",="(0.086)",="(0.131)"

="Sector_Code=8",="-2.389",="-1.463",="-8.726",="-11.32*",="-8.058"
="",="(0.661)",="(0.787)",="(0.120)",="(0.044)",="(0.154)"

="Sector_Code=9",="-5.052",="-2.592",="-4.731",="-6.650",="-6.437"
="",="(0.300)",="(0.581)",="(0.306)",="(0.145)",="(0.160)"

="Sector_Code=10",="-5.391",="-11.11",="-9.790",="-10.39",="-4.556"
="",="(0.343)",="(0.066)",="(0.091)",="(0.069)",="(0.442)"

="Sector_Code=11",="-4.292",="-1.049",="-2.572",="-2.952",="-2.336"
="",="(0.291)",="(0.792)",="(0.512)",="(0.452)",="(0.551)"

="STOCKOPT_MIL",="",="1.859***",="2.313***",="2.486***",="2.522***"
="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="SALARY_THOU",="",="",="-1.950***",="-2.756***",="-2.438***"
="",="",="",="(0.000)",="(0.000)",="(0.000)"

="SAL_CH_PER",="",="",="",="0.409***",="0.384***"
="",="",="",="",="(0.000)",="(0.000)"

="MLVALT",="",="",="",="",="-0.0000698***"
="",="",="",="",="",="(0.000)"

="Constant",="18.81",="-0.201",="16.84",="22.25*",="22.20*"
="",="(0.101)",="(0.986)",="(0.142)",="(0.040)",="(0.042)"

="Observations",="3836",="3834",="3834",="3834",="3620"
="Adjusted R-squared",="0.008",="0.066",="0.080",="0.111",="0.119"

="p-values in parentheses"
="Note: All models contain year, state, sector fixed effects. "
="* p<0.05, ** p<0.01, *** p<0.001"
