="Table II: Regression Results"

="",="Model I",="Model II",="Model III",="Model IV",="Model V"

="RETURNS",="0.164***",="0.152***",="0.146***",="0.134***",="0.128***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="YEAR=2007",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="YEAR=2008",="-0.525",="0.509",="1.073",="1.571",="-2.383"
="",="(0.930)",="(0.930)",="(0.851)",="(0.783)",="(0.668)"

="YEAR=2009",="-12.74*",="-9.478",="-8.068",="-5.376",="-7.530"
="",="(0.021)",="(0.077)",="(0.133)",="(0.310)",="(0.171)"

="YEAR=2010",="14.20*",="13.91*",="15.48**",="15.87**",="13.98*"
="",="(0.014)",="(0.013)",="(0.006)",="(0.004)",="(0.016)"

="YEAR=2011",="-2.215",="-2.968",="-1.740",="-0.0683",="-2.752"
="",="(0.650)",="(0.530)",="(0.711)",="(0.988)",="(0.571)"

="YEAR=2012",="-5.220",="-6.506",="-5.099",="-2.894",="-6.199"
="",="(0.326)",="(0.210)",="(0.322)",="(0.573)",="(0.215)"

="YEAR=2013",="-11.55*",="-11.71*",="-9.587",="-7.479",="-10.14"
="",="(0.029)",="(0.022)",="(0.059)",="(0.138)",="(0.054)"

="YEAR=2014",="-0.147",="-2.502",="-0.849",="1.582",="1.034"
="",="(0.977)",="(0.619)",="(0.865)",="(0.749)",="(0.840)"

="YEAR=2015",="-12.65**",="-14.14**",="-11.97**",="-10.09*",="-13.03**"
="",="(0.006)",="(0.002)",="(0.006)",="(0.020)",="(0.004)"

="YEAR=2016",="-2.333",="-5.057",="-2.770",="-0.413",="-3.590"
="",="(0.627)",="(0.279)",="(0.547)",="(0.928)",="(0.433)"

="YEAR=2017",="-4.421",="-9.417*",="-7.675",="-5.618",="-6.250"
="",="(0.353)",="(0.039)",="(0.088)",="(0.210)",="(0.179)"

="YEAR=2018",="-6.860",="-10.31*",="-8.310",="-8.100",="-8.495"
="",="(0.167)",="(0.032)",="(0.082)",="(0.077)",="(0.076)"

="STATEID=1",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="STATEID=2",="-22.82",="-28.98*",="-29.62**",="-28.85**",="-23.66*"
="",="(0.070)",="(0.013)",="(0.009)",="(0.007)",="(0.025)"

="STATEID=3",="4.796",="0.610",="0.332",="0.0793",="-1.463"
="",="(0.713)",="(0.960)",="(0.978)",="(0.994)",="(0.899)"

="STATEID=4",="6.770",="5.650",="6.068",="5.060",="2.974"
="",="(0.529)",="(0.590)",="(0.557)",="(0.608)",="(0.756)"

="STATEID=5",="3.174",="5.135",="3.837",="4.072",="-1.507"
="",="(0.774)",="(0.630)",="(0.715)",="(0.689)",="(0.874)"

="STATEID=6",="10.71",="9.298",="8.256",="8.350",="8.376"
="",="(0.423)",="(0.470)",="(0.514)",="(0.497)",="(0.520)"

="STATEID=7",="-0.790",="-1.334",="-3.835",="-4.449",="-4.501"
="",="(0.956)",="(0.922)",="(0.775)",="(0.732)",="(0.729)"

="STATEID=8",="7.554",="-10.21",="-6.317",="-4.186",="-4.262"
="",="(0.604)",="(0.370)",="(0.549)",="(0.671)",="(0.670)"

="STATEID=9",="6.206",="6.429",="4.692",="1.740",="0.896"
="",="(0.588)",="(0.565)",="(0.670)",="(0.865)",="(0.930)"

="STATEID=10",="-3.680",="-5.608",="-6.080",="-5.927",="-5.526"
="",="(0.699)",="(0.545)",="(0.503)",="(0.492)",="(0.523)"

="STATEID=11",="12.10",="10.17",="6.797",="5.043",="8.876"
="",="(0.427)",="(0.485)",="(0.635)",="(0.716)",="(0.707)"

="STATEID=12",="-9.462",="-7.938",="-7.623",="-12.84",="-14.99"
="",="(0.530)",="(0.575)",="(0.584)",="(0.431)",="(0.348)"

="STATEID=13",="0.0958",="-1.255",="-1.834",="-1.760",="-1.311"
="",="(0.992)",="(0.895)",="(0.844)",="(0.842)",="(0.884)"

="STATEID=14",="-0.160",="-0.907",="0.180",="1.292",="6.540"
="",="(0.989)",="(0.935)",="(0.987)",="(0.902)",="(0.540)"

="STATEID=15",="2.457",="6.251",="6.546",="7.703",="6.134"
="",="(0.849)",="(0.616)",="(0.594)",="(0.518)",="(0.606)"

="STATEID=16",="-6.870",="-12.59",="-11.54",="-11.56",="-12.89"
="",="(0.628)",="(0.349)",="(0.380)",="(0.354)",="(0.304)"

="STATEID=17",="5.946",="6.005",="6.298",="5.648",="4.950"
="",="(0.574)",="(0.558)",="(0.531)",="(0.558)",="(0.611)"

="STATEID=18",="2.430",="1.326",="-2.271",="-2.901",="-0.00771"
="",="(0.855)",="(0.920)",="(0.863)",="(0.821)",="(1.000)"

="STATEID=19",="1.336",="0.869",="1.051",="-1.184",="-1.946"
="",="(0.901)",="(0.934)",="(0.919)",="(0.905)",="(0.844)"

="STATEID=20",="3.057",="3.815",="1.779",="0.779",="-0.104"
="",="(0.774)",="(0.715)",="(0.862)",="(0.937)",="(0.992)"

="STATEID=21",="-1.818",="4.135",="2.304",="1.752",="1.360"
="",="(0.868)",="(0.696)",="(0.825)",="(0.859)",="(0.891)"

="STATEID=22",="4.473",="3.943",="3.139",="1.909",="2.346"
="",="(0.669)",="(0.700)",="(0.755)",="(0.840)",="(0.805)"

="STATEID=23",="10.67",="15.19",="6.654",="3.487",="-0.415"
="",="(0.625)",="(0.494)",="(0.760)",="(0.871)",="(0.978)"

="STATEID=24",="-0.618",="-6.175",="-2.971",="-2.040",="-1.991"
="",="(0.950)",="(0.521)",="(0.753)",="(0.821)",="(0.825)"

="STATEID=25",="-14.11",="-8.393",="22.06",="41.29**",="34.90*"
="",="(0.384)",="(0.566)",="(0.181)",="(0.008)",="(0.025)"

="STATEID=26",="-7.277",="-14.94",="-13.36",="-12.40",="-10.40"
="",="(0.439)",="(0.104)",="(0.137)",="(0.147)",="(0.228)"

="STATEID=27",="-0.668",="-0.730",="-0.394",="-1.211",="-1.883"
="",="(0.945)",="(0.938)",="(0.966)",="(0.890)",="(0.831)"

="STATEID=28",="0.0567",="0.0382",="-5.253",="-8.011",="-9.176"
="",="(0.996)",="(0.997)",="(0.635)",="(0.453)",="(0.391)"

="STATEID=29",="13.02",="10.99",="13.70",="13.41",="12.70"
="",="(0.404)",="(0.439)",="(0.322)",="(0.321)",="(0.346)"

="STATEID=30",="4.584",="-0.294",="1.069",="0.990",="0.716"
="",="(0.672)",="(0.978)",="(0.918)",="(0.920)",="(0.943)"

="STATEID=31",="-3.851",="-13.57",="-14.64",="-14.53",="-15.29"
="",="(0.775)",="(0.284)",="(0.239)",="(0.220)",="(0.196)"

="STATEID=32",="11.61",="18.71",="20.76",="20.48",="19.24"
="",="(0.638)",="(0.439)",="(0.387)",="(0.391)",="(0.423)"

="STATEID=33",="0.367",="0.0319",="0.282",="0.186",="-0.157"
="",="(0.973)",="(0.998)",="(0.978)",="(0.985)",="(0.987)"

="STATEID=34",="-3.767",="-7.393",="-9.838",="-10.93",="-10.96"
="",="(0.696)",="(0.433)",="(0.289)",="(0.214)",="(0.215)"

="STATEID=35",="-5.739",="7.450",="10.67",="12.07",="12.14"
="",="(0.586)",="(0.473)",="(0.310)",="(0.241)",="(0.241)"

="STATEID=36",="1.834",="-2.080",="-1.438",="-0.237",="-2.661"
="",="(0.859)",="(0.835)",="(0.883)",="(0.980)",="(0.774)"

="STATEID=37",="-4.604",="1.180",="-4.146",="-6.383",="-2.553"
="",="(0.660)",="(0.908)",="(0.681)",="(0.508)",="(0.796)"

="STATEID=38",="-1.431",="2.700",="1.622",="0.287",="-0.761"
="",="(0.903)",="(0.814)",="(0.887)",="(0.980)",="(0.946)"

="Sector_Code=1",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Sector_Code=2",="-1.134",="-10.76",="-10.01",="-10.92",="-11.37"
="",="(0.910)",="(0.242)",="(0.265)",="(0.220)",="(0.204)"

="Sector_Code=3",="-1.901",="-1.122",="-2.596",="-4.320",="-2.863"
="",="(0.701)",="(0.815)",="(0.585)",="(0.350)",="(0.539)"

="Sector_Code=4",="-1.515",="-4.485",="-3.572",="-3.661",="-2.422"
="",="(0.751)",="(0.348)",="(0.453)",="(0.440)",="(0.615)"

="Sector_Code=5",="-0.964",="1.986",="-1.051",="-3.355",="-3.975"
="",="(0.816)",="(0.626)",="(0.797)",="(0.397)",="(0.307)"

="Sector_Code=6",="-6.833",="-8.783*",="-10.84**",="-12.29**",="-11.20**"
="",="(0.104)",="(0.031)",="(0.008)",="(0.003)",="(0.007)"

="Sector_Code=7",="-3.017",="-2.878",="-4.085",="-4.983",="-4.361"
="",="(0.450)",="(0.461)",="(0.288)",="(0.185)",="(0.246)"

="Sector_Code=8",="-3.351",="-2.331",="-9.033",="-11.58*",="-8.017"
="",="(0.518)",="(0.651)",="(0.092)",="(0.031)",="(0.138)"

="Sector_Code=9",="-4.449",="-1.708",="-3.910",="-5.833",="-5.610"
="",="(0.351)",="(0.709)",="(0.388)",="(0.190)",="(0.209)"

="Sector_Code=10",="-4.073",="-9.065",="-7.938",="-8.926",="-4.237"
="",="(0.470)",="(0.122)",="(0.159)",="(0.108)",="(0.466)"

="Sector_Code=11",="-3.584",="-0.195",="-1.722",="-2.126",="-1.671"
="",="(0.364)",="(0.959)",="(0.651)",="(0.575)",="(0.660)"

="STOCKOPT_MIL",="",="1.856***",="2.275***",="2.449***",="2.470***"
="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="SALARY_THOU",="",="",="-1.804***",="-2.650***",="-2.331***"
="",="",="",="(0.000)",="(0.000)",="(0.000)"

="SAL_CH_PER",="",="",="",="0.408***",="0.383***"
="",="",="",="",="(0.000)",="(0.000)"

="MLVALT",="",="",="",="",="-0.0000637**"
="",="",="",="",="",="(0.001)"

="Constant",="17.56",="-2.039",="14.24",="20.32*",="19.96"
="",="(0.098)",="(0.846)",="(0.182)",="(0.045)",="(0.053)"

="Observations",="4025",="4023",="4023",="4023",="3797"
="Adjusted R-squared",="0.017",="0.076",="0.088",="0.120",="0.126"

="p-values in parentheses"
="Note: All models contain year, state, sector fixed effects. "
="* p<0.05, ** p<0.01, *** p<0.001"
